gene,protein,cluster,n_cells,rho_obs,rho_null_mean,z_score,p_value,fdr_padj
MS4A1,CD3,0,3446,-0.13263033103482885,4.0563462105761864e-05,-8.031987501323114,9.590614326323823e-16,4.043358218899557e-15
NCAM1,CD19,4,932,-0.2625494496510287,-0.0005409316123578061,-8.02533620550493,1.0124826573034588e-15,4.260291103643874e-15
FCER1A,TIGIT,0,3446,0.13178299160502396,-0.0005479874298859583,8.003193124759957,1.212335723576082e-15,5.091340141452267e-15
CD19,CD3,4,932,-0.24986439598078025,0.0012388834745675642,-7.999549616924517,1.2487512379532065e-15,5.227487183293808e-15
GZMA,CD3,4,932,0.26224992221744287,-0.00026669115225599687,7.999467988012484,1.2495793082354373e-15,5.227487183293808e-15
MS4A1,CD45RA,0,3446,-0.1412360023359608,-0.0007219334389672189,-7.997540729192148,1.2692879556473274e-15,5.299705202095874e-15
GENE_07154,CD19,0,3446,-0.13331334926852012,-0.00032226948313058846,-7.985743975412149,1.396773144088312e-15,5.820783467768023e-15
CD3E,TIGIT,4,932,0.26765566976754895,-0.0018482188627697075,7.9790863921344855,1.4742036885205104e-15,6.131668700621777e-15
NCAM1,IgM,4,932,-0.26281878209031084,-0.0005341127576242586,-7.978502388181779,1.4811942329818922e-15,6.1489423426662075e-15
GENE_19877,CD19,0,3446,-0.13689387351773694,-0.0003281977146929361,-7.976572841785412,1.5045239162108858e-15,6.233849572521969e-15
GENE_17405,CD8a,1,2427,0.15980261186412625,-0.00041356172943935447,7.974016348088255,1.5359920945237705e-15,6.352089444337807e-15
GENE_00483,CD8a,1,2427,0.154992161063245,-0.0012101124094570667,7.962051171589635,1.6921046489372406e-15,6.984363379518097e-15
GENE_07952,CD8a,1,2427,0.15988645903716706,-0.0006816708395815048,7.939741601588696,2.0260288419518234e-15,8.346776616938406e-15
CST3,CD25,0,3446,-0.13257261520732477,0.0005243063096225823,-7.933122143288431,2.1370406213130917e-15,8.787413712306394e-15
GENE_04161,TIGIT,0,3446,0.1314277689965525,-0.0004811426714117768,7.918777199956661,2.398577012009397e-15,9.8441598201219e-15
CLEC9A,CD3,0,3446,0.13480463931836478,4.024698837000796e-05,7.917382709060902,2.4256226127465448e-15,9.936340646165903e-15
GENE_10668,CD8a,1,2427,0.1547277328605913,-0.0012971356967937733,7.9139170687936184,2.4941447396134884e-15,1.019775783158949e-14
MS4A1,CD14,4,932,-0.26585760689800353,-0.0002144175526643539,-7.908680967369019,2.601302970947691e-15,1.0615863536805361e-14
GENE_10069,TIGIT,0,3446,0.12873991212397676,-0.00016723386831039483,7.89247118442589,2.96260749225514e-15,1.2067613600971594e-14
CD79A,CD19,2,938,0.26217154235747714,0.0015337139724475582,7.892094595340433,2.9715634604949466e-15,1.2078716359648457e-14
GENE_16867,CD8a,1,2427,0.15516011989247053,-0.0006709724207252961,7.89188828892613,2.976481096470824e-15,1.2078716359648457e-14
GENE_19228,TIGIT,0,3446,0.13135842312832177,-6.197545288095527e-05,7.8801550945229675,3.2697496925045146e-15,1.3244014175060341e-14
GENE_06387,IgM,4,932,-0.2562156159215096,-0.0006082722035986391,-7.878661381265921,3.309069121374078e-15,1.3378270123167215e-14
CST3,CD25,2,938,-0.2634453596309772,-0.00015077814208178878,-7.854133850723788,4.0254421705481524e-15,1.6244195872584446e-14
GENE_10754,CD56,2,938,0.25079883653930346,-0.0014868730278452316,7.852862598004042,4.066470990927783e-15,1.6379261407696107e-14
GENE_17396,CD19,0,3446,-0.1323864336896993,0.00015100722849469011,-7.8419240431325274,4.436947403973181e-15,1.7838339562912587e-14
GENE_19032,CD19,0,3446,-0.13021558955878165,-7.520694187563452e-05,-7.836648681587931,4.627303597987045e-15,1.856919795710727e-14
NCAM1,CD16,0,3446,0.13002286766338378,5.722964600538533e-05,7.83239134302142,4.786768355964114e-15,1.917361742583038e-14
PPBP,CD19,0,3446,-0.12881576311072557,0.00012348117256284148,-7.826164391956357,5.029795541677586e-15,2.0109902101135292e-14
GZMA,CD4,2,938,-0.2507960997260737,-0.001890471270810948,-7.824557244130359,5.094466784296037e-15,2.0330956761638144e-14
GENE_08030,IgM,4,932,-0.25645399057461304,-0.0003354931590538404,-7.823992934687323,5.117368068410194e-15,2.0384809934273693e-14
GENE_19000,TIGIT,0,3446,0.13081392929290947,-0.0002793758292927381,7.812582378255746,5.602800056878122e-15,2.227755545551356e-14
GZMA,CD19,4,932,-0.24662310823824066,0.0006007207719080668,-7.812032514034125,5.627303853776514e-15,2.2334006320757703e-14
CD8A,HLA-DR,2,938,-0.2579627130188564,0.0012855144988307976,-7.809320985452965,5.749689893456789e-15,2.277802193623558e-14
CD19,CD3,0,3446,-0.12764780729592665,0.0002088814157929297,-7.801568982932986,6.114216878713367e-15,2.417793426308735e-14
PF4,CD56,2,938,0.2564233346161168,-0.0005592795706978739,7.7877421396744895,6.821722245218876e-15,2.692654299706613e-14
CD79A,CD4,0,3446,-0.13169525735672416,0.0005350221144515972,-7.786615738558917,6.882787190654992e-15,2.7118181531180666e-14
GENE_10222,CD56,2,938,0.25180850457287607,-0.0018701791970225999,7.779489011401178,7.281807009085606e-15,2.863825007021508e-14
KLRB1,CD16,2,938,0.2617184485921184,0.0012440562585455885,7.774294008336061,7.58693409445283e-15,2.978421409905667e-14
