sender,receiver,ligand,receptor,score_classical,gat_sim,score,z_score,fdr
0,0,GENE_01233,GENE_02241,0.9631841194904744,1.0000001192092896,1.9263683538014436,0.09099224249153974,1.0
0,1,GENE_01233,GENE_02241,0.9816462056122206,0.9988289475440979,1.962142852024532,-299.57882125132807,1.0
0,2,GENE_01233,GENE_02241,0.9650404548477307,0.9993154406547546,1.9294202822335556,-112.32307033697873,1.0
0,3,GENE_01233,GENE_02241,0.9193457468138155,0.9978244304656982,1.8366913930293731,-76.10267061547528,1.0
0,4,GENE_01233,GENE_02241,0.9779869840163006,0.9992010593414307,1.955192614467519,-118.80005781029205,1.0
0,5,GENE_01233,GENE_02241,1.0341797457117166,0.9927322864532471,2.0608433692757466,-153.6492494033615,1.0
1,0,GENE_01233,GENE_02241,0.9358558008065395,0.9988289475440979,1.8706156653791743,-299.57882125132807,1.0
1,1,GENE_01233,GENE_02241,0.9537940641586866,1.0000001192092896,1.907588242018486,0.09353658071627739,1.0
1,2,GENE_01233,GENE_02241,0.9376594665617948,0.9987845420837402,1.874179247502201,-188.21880430207423,1.0
1,3,GENE_01233,GENE_02241,0.8932612495289779,0.9986039400100708,1.7852754527669343,-50.02198825239195,1.0
1,4,GENE_01233,GENE_02241,0.950238665260717,0.9998115301132202,1.9002982391477785,-23.729185998278307,1.0
1,5,GENE_01233,GENE_02241,1.0048370758157144,0.9859763383865356,1.9955826565035262,-298.53014473761243,1.0
2,0,GENE_01233,GENE_02241,0.9470788550556206,0.9993154406547546,1.8935093784303287,-112.32307033697873,1.0
2,1,GENE_01233,GENE_02241,0.9652322392656626,0.9987845420837402,1.9292912793650805,-188.21880430207423,1.0
2,2,GENE_01233,GENE_02241,0.9489041508938447,0.9999999403953552,1.8978082452285947,-0.07471019371153047,1.0
2,3,GENE_01233,GENE_02241,0.9039734975627303,0.999411404132843,1.8074149200607756,-17.665789190956797,1.0
2,4,GENE_01233,GENE_02241,0.96163420299271,0.9985918998718262,1.9219143287409295,-141.28351045282983,1.0
2,5,GENE_01233,GENE_02241,1.016887373525734,0.990939736366272,2.0245614793615156,-192.7659574857351,1.0
3,0,GENE_01233,GENE_02241,0.9903251124305618,0.9978244304656982,1.9784957037174655,-76.10267061547528,1.0
3,1,GENE_01233,GENE_02241,1.0093074307062129,0.9986039400100708,2.0172058076908788,-50.02198825239195,1.0
3,2,GENE_01233,GENE_02241,0.9922337563587406,0.999411404132843,1.9838834880292346,-17.665789190956797,1.0
3,3,GENE_01233,GENE_02241,0.9452514443007848,0.9999999403953552,1.8905028322601931,-0.07350642038787786,1.0
